                
2025-06-06 14:10:29 | INFO     | logger_config   | Logger initialized successfully!!!
2025-06-06 14:10:29 | INFO     | logger_config   | Logger initialized successfully!!!
2025-06-06 14:10:29 | INFO     | main            | 🔧 Logger Setup Complete!!
2025-06-06 14:10:29 | INFO     | main            | App is starting up...
2025-06-06 14:10:29 | INFO     | main            | Database tables checked/created successfully!!!
2025-06-06 14:10:43 | INFO     | logger_config   | Logger initialized successfully!!!
2025-06-06 14:10:43 | INFO     | logger_config   | Logger initialized successfully!!!
2025-06-06 14:10:43 | INFO     | main            | 🔧 Logger Setup Complete!!
2025-06-06 14:10:43 | INFO     | main            | App is starting up...
2025-06-06 14:10:44 | INFO     | main            | Database tables checked/created successfully!!!
2025-06-06 14:13:09 | INFO     | logger_config   | Logger initialized successfully!!!
2025-06-06 14:13:09 | INFO     | logger_config   | Logger initialized successfully!!!
2025-06-06 14:13:09 | INFO     | main            | 🔧 Logger Setup Complete!!
2025-06-06 14:13:09 | INFO     | main            | 🚀 App is starting up...
2025-06-06 14:13:09 | INFO     | main            | Database tables checked/created successfully!!!
2025-06-06 14:14:28 | INFO     | logger_config   | Logger initialized successfully!!!
2025-06-06 14:14:28 | INFO     | logger_config   | Logger initialized successfully!!!
2025-06-06 14:14:28 | INFO     | main            | 🔧 Logger Setup Complete!!
2025-06-06 14:14:28 | INFO     | main            | 🚀 App is starting up...
2025-06-06 14:14:28 | INFO     | main            | Database tables checked/created successfully!!!
2025-06-06 14:16:08 | INFO     | logger_config   | Logger initialized successfully!!!
2025-06-06 14:16:08 | INFO     | logger_config   | Logger initialized successfully!!!
2025-06-06 14:16:08 | INFO     | main            | 🔧 Logger Setup Complete!!
2025-06-06 14:16:08 | INFO     | main            | 🚀 App is starting up...
2025-06-06 14:16:08 | INFO     | main            | 💽 Database tables checked/created successfully!!!
2025-06-06 14:16:44 | INFO     | logger_config   | Logger initialized successfully!!!
2025-06-06 14:16:44 | INFO     | logger_config   | Logger initialized successfully!!!
2025-06-06 14:16:44 | INFO     | main            | 🔧 Logger Setup Complete!!
2025-06-06 14:16:44 | INFO     | main            | 🚀 App is starting up...
2025-06-06 14:16:44 | INFO     | main            | 💽 Database tables checked/created successfully!!!
2025-06-06 14:25:30 | INFO     | logger_config   | Logger initialized successfully!!!
2025-06-06 14:25:30 | INFO     | logger_config   | Logger initialized successfully!!!
2025-06-06 14:25:30 | INFO     | main            | 🔧 Logger Setup Complete!!
2025-06-06 14:25:30 | INFO     | main            | 🚀 App is starting up...
2025-06-06 14:25:30 | INFO     | main            | 💽 Database tables checked/created successfully!!!
2025-06-06 14:34:07 | INFO     | logger_config   | Logger initialized successfully!!!
2025-06-06 14:34:07 | INFO     | logger_config   | Logger initialized successfully!!!
2025-06-06 14:34:07 | INFO     | main            | 🔧 Logger Setup Complete!!
2025-06-06 14:34:07 | INFO     | main            | 🚀 App is starting up...
2025-06-06 14:34:07 | INFO     | main            | 💽 Database tables checked/created successfully!!!
2025-06-06 14:52:16 | INFO     | logger_config   | Logger initialized successfully!!!
2025-06-06 14:52:16 | INFO     | logger_config   | Logger initialized successfully!!!
2025-06-06 14:52:16 | INFO     | main            | 🔧 Logger Setup Complete!!
2025-06-06 14:52:16 | INFO     | main            | 🚀 App is starting up...
2025-06-06 14:52:16 | INFO     | main            | 💽 Database tables checked/created successfully!!!
2025-06-06 14:56:57 | INFO     | logger_config   | Logger initialized successfully!!!
2025-06-06 14:56:57 | INFO     | logger_config   | Logger initialized successfully!!!
2025-06-06 14:56:57 | INFO     | main            | 🔧 Logger Setup Complete!!
